Producto,Tipo,Volumen,Peso,Retornable,familia_inferida,categoria_logistica,zona_recomendada,prioridad_acceso,requiere_lateral,fragil,pesado,apilable,retorno_dinamico,orden_carga_recomendado,regla_aplicada
0LI0150,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0151,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0152,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0153,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0159,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0163,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0172,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0181,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0182,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0185,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0197,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0204,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0220,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0224,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0227,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0230,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0239,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0240,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0241,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0247,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0248,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0249,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0259,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0264,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0266,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0267,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0268,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0270,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0284,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0295,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0296,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0314,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0333,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0346,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0362,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0372,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0381,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0393,UN,ZCG,,No,Licor,Unidad estándar,Zona flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN => unidad estándar flexible
0LI0397,CAJ,ZCG,,No,Licor,Caja estándar,Zona general,Media,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo CAJ => caja estándar
0LI0400,UN,ZCG,,No,Licor,Unidad estándar,Zona flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN => unidad estándar flexible
0LI0431,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0452,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0453,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0560,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0561,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0564,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI0572,BOT,ZCG,,No,Licor,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LI2694,UN,ZCG,,No,Licor,Unidad estándar,Zona flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN => unidad estándar flexible
0LM0007,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0010,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0011,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0020,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0024,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0030,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0031,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0035,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0038,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0040,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0042,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0044,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0051,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0052,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0053,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0054,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0068,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0070,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0075,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0079,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0087,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0091,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0092,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0099,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0100,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0102,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0104,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0105,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0106,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0109,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0110,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0113,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0114,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0115,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0116,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0117,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0118,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0121,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0124,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0125,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0131,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0133,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0135,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0137,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0140,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0154,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0157,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0166,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0181,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0184,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0200,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0201,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0202,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0203,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0204,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0205,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0207,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0210,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0211,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0213,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0214,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0218,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0221,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0238,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0258,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0259,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0278,BOT,ZCG,,No,Higiene/menaje,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LM0281,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0296,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0316,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0319,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0334,UN,ZCG,,No,Higiene/menaje,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0LM0337,PQ,ZCG,,No,Higiene/menaje,Estándar,Zona general,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Sin regla específica => estándar
0LM0376,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0378,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0391,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0396,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0398,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0406,BOT,ZCG,,No,Higiene/menaje,Botella frágil,Zona protegida / estable,Media,No,Sí,No,No,No,"Cargar protegido, evitar bloqueo y golpes",Tipo BOT => botella: frágil y protegida
0LM0423,PAK,ZCG,,No,Higiene/menaje,Pack ligero,Zona media / superior,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo PAK => pack ligero y flexible
0LM0439,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0440,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0452,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0469,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0470,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0LM0474,PQ,ZCG,,No,Higiene/menaje,Estándar,Zona general,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Sin regla específica => estándar
0LM0475,CAJ,ZCG,,No,Higiene/menaje,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
